"";"match_id";"team1";"team2";"logo1";"logo2";"group";"date";"time";"venue"
"1";1;"Russia";"Saudi Arabia";"http://d.webgenerator24.pl/k/r/lq/5v/hxmah8g4go4swg0cs8gc8gs44ww/rosja.64.jpg";"http://d.webgenerator24.pl/k/r/gd/9h/1gkrus8cc484kkck0ckoccs040g/750px-flag-of-saudi-arabia.svg.7h1e75g3.64.png";"A";2018-06-14;17:00:00;"Luzhniki Stadium, Moscow"
"2";2;"Egypt";"Uruguay";"http://d.webgenerator24.pl/k/r/5q/qp/z817ui4o4ksw4skk04c04sgccwo/900px-flag-of-egypt.svg.dwtu4lyx.64.png";"http://d.webgenerator24.pl/k/r/lr/y0/d09ksnk8wgck0ws84k8c0ooocoo/urugwaj.64.jpg";"A";2018-06-15;14:00:00;"Ekaterinburg Arena"
"3";3;"Portugal";"Spain";"http://d.webgenerator24.pl/k/r/ti/la/opuyvpwsoksos0oocgws84kgw0k/portugalia.64.jpg";"http://d.webgenerator24.pl/k/r/gw/on/eul8di8gk844wwcks8swoss8ccc/hiszpania.64.jpg";"B";2018-06-15;20:00:00;"Fisht Stadium, Sochi"
"4";4;"Morocco";"Iran";"http://d.webgenerator24.pl/k/r/k5/p1/6xe48pw0s40kkoswck00og8kc80.64.png";"http://d.webgenerator24.pl/k/r/hh/wc/634fpigok484kcokoogwccgc08w/iran.64.jpg";"B";2018-06-15;17:00:00;"Saint Petersburg Stadium"
"5";5;"France";"Australia";"http://d.webgenerator24.pl/k/r/ft/9e/xp0c91c0o4w4s4c8s8s8k0co0wc/francja.64.jpg";"http://d.webgenerator24.pl/k/r/de/47/gpxjrvw4swss8ww4sw4scsgcsk4/australia.64.jpg";"C";2018-06-16;12:00:00;"Kazan Arena, Kazan"
"6";6;"Peru";"Denmark";"http://d.webgenerator24.pl/k/r/2b/jp/oa3xm5ogckgk00sg48kswg4ocs8/flag-of-peru.svg.2vnwbmrq.64.png";"http://d.webgenerator24.pl/k/r/r0/kg/xg1gbg0sogs4sgws80c08o48o80.64.png";"C";2018-06-16;18:00:00;"Mordovia Arena, Saransk"
"7";7;"Argentina";"Iceland";"http://d.webgenerator24.pl/k/r/te/ys/hm9cgcgw44w08o0ggk0oocoo8sk/argentyna.64.jpg";"http://d.webgenerator24.pl/k/r/jh/hx/qvo0ibwogk4s08c8w4o4400ccwo/flag-of-iceland.svg.64.png";"D";2018-06-16;15:00:00;"Spartak Stadium, Moscow"
"8";8;"Croatia";"Nigeria";"http://d.webgenerator24.pl/k/r/3j/rn/prtwlmas0ss40gk0gw8sgkko4gg/chorwacja.64.jpg";"http://d.webgenerator24.pl/k/r/e9/5d/49duwi04ck8s008ck84kssg88c8/nigeria.64.jpg";"D";2018-06-16;21:00:00;"Kaliningrad Stadium"
"9";9;"Brazil";"Switzerland";"http://d.webgenerator24.pl/k/r/3o/6j/yya7i9usc4kcw0c4cg08gswo48w/brazylia.64.jpg";"http://d.webgenerator24.pl/k/r/jq/2h/yz3qllw48gscwo8k08c4k0888sw/szwajcaria.64.jpg";"E";2018-06-17;20:00:00;"Rostov Arena"
"10";10;"Costa Rica";"Serbia";"http://d.webgenerator24.pl/k/r/gr/t3/q88zg3k0kw8ko40kowwcok8o04w/kostaryka.64.jpg";"http://d.webgenerator24.pl/k/r/fr/ar/98rs38ggc48wcss04sg0wgk480w/serbia.acspoofw.64.png";"E";2018-06-17;14:00:00;"Samara Arena, Samara"
